coddpto,codmun,dpto,mun
5,1,Antioquia,MEDELLÍN
5,2,Antioquia,ABEJORRAL
5,4,Antioquia,ABRIAQUÍ
5,21,Antioquia,ALEJANDRÍA
5,30,Antioquia,AMAGÁ
5,31,Antioquia,AMALFI
5,34,Antioquia,ANDES
5,36,Antioquia,ANGELÓPOLIS
5,38,Antioquia,ANGOSTURA
5,40,Antioquia,ANORÍ
5,42,Antioquia,SANTAFÉ DE ANTIOQUIA
5,44,Antioquia,ANZA
5,45,Antioquia,APARTADÓ
5,51,Antioquia,ARBOLETES
5,55,Antioquia,ARGELIA
5,59,Antioquia,ARMENIA
5,79,Antioquia,BARBOSA
5,86,Antioquia,BELMIRA
5,88,Antioquia,BELLO
5,91,Antioquia,BETANIA
5,93,Antioquia,BETULIA
5,101,Antioquia,CIUDAD BOLIVAR
5,107,Antioquia,BRICEÑO
5,113,Antioquia,BURITICÁ
5,120,Antioquia,CÁCERES
5,125,Antioquia,CAICEDO
5,129,Antioquia,CALDAS
5,134,Antioquia,CAMPAMENTO
5,138,Antioquia,CAÑASGORDAS
5,142,Antioquia,CARACOLÍ
5,145,Antioquia,CARAMANTA
5,147,Antioquia,CAREPA
5,148,Antioquia,EL CARMEN DE VIBORAL
5,150,Antioquia,CAROLINA
5,154,Antioquia,CAUCASIA
5,172,Antioquia,CHIGORODÓ
5,190,Antioquia,CISNEROS
5,197,Antioquia,COCORNÁ
5,206,Antioquia,CONCEPCIÓN
5,209,Antioquia,CONCORDIA
5,212,Antioquia,COPACABANA
5,234,Antioquia,DABEIBA
5,237,Antioquia,DON MATÍAS
5,240,Antioquia,EBÉJICO
5,250,Antioquia,EL BAGRE
5,264,Antioquia,ENTRERRIOS
5,266,Antioquia,ENVIGADO
5,282,Antioquia,FREDONIA
5,284,Antioquia,FRONTINO
5,306,Antioquia,GIRALDO
5,308,Antioquia,GIRARDOTA
5,310,Antioquia,GÓMEZ PLATA
5,313,Antioquia,GRANADA
5,315,Antioquia,GUADALUPE
5,318,Antioquia,GUARNE
5,321,Antioquia,GUATAPE
5,347,Antioquia,HELICONIA
5,353,Antioquia,HISPANIA
5,360,Antioquia,ITAGUI
5,361,Antioquia,ITUANGO
5,364,Antioquia,JARDÍN
5,368,Antioquia,JERICÓ
5,376,Antioquia,LA CEJA
5,380,Antioquia,LA ESTRELLA
